Name,ModuleName
alljoyn_message_getobjectpath,MSAJApi.dll
alljoyn_message_getreceiveendpointname,MSAJApi.dll
alljoyn_message_getreplyserial,MSAJApi.dll
alljoyn_message_getsender,MSAJApi.dll
alljoyn_message_getsessionid,MSAJApi.dll
alljoyn_message_getsignature,MSAJApi.dll
alljoyn_message_gettimestamp,MSAJApi.dll
alljoyn_message_gettype,MSAJApi.dll
alljoyn_message_isbroadcastsignal,MSAJApi.dll
alljoyn_message_isencrypted,MSAJApi.dll
alljoyn_message_isexpired,MSAJApi.dll
alljoyn_message_isglobalbroadcast,MSAJApi.dll
alljoyn_message_issessionless,MSAJApi.dll
alljoyn_message_isunreliable,MSAJApi.dll
alljoyn_message_parseargs,MSAJApi.dll
alljoyn_message_setendianess,MSAJApi.dll
alljoyn_message_tostring,MSAJApi.dll
alljoyn_msgarg_array_create,MSAJApi.dll
alljoyn_msgarg_array_element,MSAJApi.dll
alljoyn_msgarg_array_get,MSAJApi.dll
alljoyn_msgarg_array_set,MSAJApi.dll
alljoyn_msgarg_array_set_offset,MSAJApi.dll
alljoyn_msgarg_array_signature,MSAJApi.dll
alljoyn_msgarg_array_tostring,MSAJApi.dll
alljoyn_msgarg_clear,MSAJApi.dll
alljoyn_msgarg_clone,MSAJApi.dll
alljoyn_msgarg_copy,MSAJApi.dll
alljoyn_msgarg_create,MSAJApi.dll
alljoyn_msgarg_create_and_set,MSAJApi.dll
alljoyn_msgarg_destroy,MSAJApi.dll
alljoyn_msgarg_equal,MSAJApi.dll
alljoyn_msgarg_get,MSAJApi.dll
alljoyn_msgarg_getdictelement,MSAJApi.dll
alljoyn_msgarg_getkey,MSAJApi.dll
alljoyn_msgarg_getmember,MSAJApi.dll
alljoyn_msgarg_getnummembers,MSAJApi.dll
alljoyn_msgarg_gettype,MSAJApi.dll
alljoyn_msgarg_getvalue,MSAJApi.dll
alljoyn_msgarg_get_array_element,MSAJApi.dll
alljoyn_msgarg_get_array_elementsignature,MSAJApi.dll
alljoyn_msgarg_get_array_numberofelements,MSAJApi.dll
alljoyn_msgarg_get_bool,MSAJApi.dll
alljoyn_msgarg_get_bool_array,MSAJApi.dll
alljoyn_msgarg_get_double,MSAJApi.dll
alljoyn_msgarg_get_double_array,MSAJApi.dll
alljoyn_msgarg_get_int16,MSAJApi.dll
alljoyn_msgarg_get_int16_array,MSAJApi.dll
alljoyn_msgarg_get_int32,MSAJApi.dll
alljoyn_msgarg_get_int32_array,MSAJApi.dll
alljoyn_msgarg_get_int64,MSAJApi.dll
alljoyn_msgarg_get_int64_array,MSAJApi.dll
alljoyn_msgarg_get_objectpath,MSAJApi.dll
alljoyn_msgarg_get_signature,MSAJApi.dll
alljoyn_msgarg_get_string,MSAJApi.dll
alljoyn_msgarg_get_uint16,MSAJApi.dll
alljoyn_msgarg_get_uint16_array,MSAJApi.dll
alljoyn_msgarg_get_uint32,MSAJApi.dll
alljoyn_msgarg_get_uint32_array,MSAJApi.dll
alljoyn_msgarg_get_uint64,MSAJApi.dll
alljoyn_msgarg_get_uint64_array,MSAJApi.dll
alljoyn_msgarg_get_uint8,MSAJApi.dll
alljoyn_msgarg_get_uint8_array,MSAJApi.dll
alljoyn_msgarg_get_variant,MSAJApi.dll
alljoyn_msgarg_get_variant_array,MSAJApi.dll
alljoyn_msgarg_hassignature,MSAJApi.dll
alljoyn_msgarg_set,MSAJApi.dll
alljoyn_msgarg_setdictentry,MSAJApi.dll
alljoyn_msgarg_setstruct,MSAJApi.dll
alljoyn_msgarg_set_and_stabilize,MSAJApi.dll
alljoyn_msgarg_set_bool,MSAJApi.dll
alljoyn_msgarg_set_bool_array,MSAJApi.dll
alljoyn_msgarg_set_double,MSAJApi.dll
alljoyn_msgarg_set_double_array,MSAJApi.dll
alljoyn_msgarg_set_int16,MSAJApi.dll
alljoyn_msgarg_set_int16_array,MSAJApi.dll
alljoyn_msgarg_set_int32,MSAJApi.dll
alljoyn_msgarg_set_int32_array,MSAJApi.dll
alljoyn_msgarg_set_int64,MSAJApi.dll
alljoyn_msgarg_set_int64_array,MSAJApi.dll
alljoyn_msgarg_set_objectpath,MSAJApi.dll
alljoyn_msgarg_set_objectpath_array,MSAJApi.dll
alljoyn_msgarg_set_signature,MSAJApi.dll
alljoyn_msgarg_set_signature_array,MSAJApi.dll
alljoyn_msgarg_set_string,MSAJApi.dll
alljoyn_msgarg_set_string_array,MSAJApi.dll
alljoyn_msgarg_set_uint16,MSAJApi.dll
alljoyn_msgarg_set_uint16_array,MSAJApi.dll
alljoyn_msgarg_set_uint32,MSAJApi.dll
alljoyn_msgarg_set_uint32_array,MSAJApi.dll
alljoyn_msgarg_set_uint64,MSAJApi.dll
alljoyn_msgarg_set_uint64_array,MSAJApi.dll
alljoyn_msgarg_set_uint8,MSAJApi.dll
alljoyn_msgarg_set_uint8_array,MSAJApi.dll
alljoyn_msgarg_signature,MSAJApi.dll
alljoyn_msgarg_stabilize,MSAJApi.dll
alljoyn_msgarg_tostring,MSAJApi.dll
alljoyn_observerlistener_create,MSAJApi.dll
alljoyn_observerlistener_destroy,MSAJApi.dll
alljoyn_observer_create,MSAJApi.dll
alljoyn_observer_destroy,MSAJApi.dll
alljoyn_observer_get,MSAJApi.dll
alljoyn_observer_getfirst,MSAJApi.dll
alljoyn_observer_getnext,MSAJApi.dll
alljoyn_observer_registerlistener,MSAJApi.dll
alljoyn_observer_unregisteralllisteners,MSAJApi.dll
alljoyn_observer_unregisterlistener,MSAJApi.dll
alljoyn_passwordmanager_setcredentials,MSAJApi.dll
alljoyn_permissionconfigurationlistener_create,MSAJApi.dll
alljoyn_permissionconfigurationlistener_destroy,MSAJApi.dll
alljoyn_permissionconfigurator_certificatechain_destroy,MSAJApi.dll
alljoyn_permissionconfigurator_certificateidarray_cleanup,MSAJApi.dll
alljoyn_permissionconfigurator_certificateid_cleanup,MSAJApi.dll
alljoyn_permissionconfigurator_claim,MSAJApi.dll
alljoyn_permissionconfigurator_endmanagement,MSAJApi.dll
